Position in x [m],Voltage [V]
-0.0672356,2.97199
-0.0672221,3.01543
-0.0672077,3.01737
-0.0671938,3.02674
-0.0671811,3.0302
-0.0671687,2.9655
-0.0671585,2.86941
-0.0671481,2.83599
-0.0671388,2.753
-0.06713,2.64523
-0.0671207,2.61022
-0.0671115,2.63565
-0.0671029,2.63874
-0.0670951,2.64523
-0.0670878,2.65287
-0.0670797,2.68348
-0.0670715,2.72742
-0.0670635,2.78887
-0.0670549,2.82728
-0.0670455,2.80487
-0.0670356,2.76971
-0.0670254,2.7924
-0.067014,2.77929
-0.0670029,2.69551
-0.0669917,2.67389
-0.0669806,2.66958
-0.0669698,2.71784
-0.0669595,2.80083
-0.0669496,2.85903
-0.0669389,2.90326
-0.0669284,2.889
-0.0669185,2.88136
-0.0669097,2.89419
-0.0669009,2.87863
-0.0668919,2.87942
-0.0668832,2.89304
-0.0668738,2.92143
-0.0668643,2.84751
-0.0668538,2.83959
-0.0668438,2.84917
-0.0668337,2.83714
-0.0668231,2.81251
-0.0668121,2.78166
-0.0668021,2.80198
-0.0667908,3.0083
-0.066779,3.24364
-0.066768,3.23363
-0.0667581,3.24443
-0.0667487,3.23378
-0.0667387,3.1835
-0.0667283,3.13278
-0.0667191,3.05209
-0.0667106,2.93778
-0.0667022,2.84232
-0.0666938,2.80602
-0.0666855,2.74493
-0.0666774,2.74896
-0.066669,2.80198
-0.0666599,2.8308
-0.0666509,2.88612
-0.0666418,2.94281
-0.0666335,2.94994
-0.0666247,3.00232
-0.0666147,3.06535
-0.0666046,3.12371
-0.0665943,3.18465
-0.0665842,3.2788
-0.0665744,3.26843
-0.0665655,3.18983
-0.0665573,3.10554
-0.0665492,3.0302
-0.0665422,2.9305
-0.0665354,2.83195
-0.0665287,2.77763
-0.0665214,2.72742
-0.0665133,2.72901
-0.0665042,2.79046
-0.0664946,2.88821
-0.0664831,3.07169
-0.0664706,3.27282
-0.066459,3.32065
-0.0664479,3.33637
-0.066437,3.302
-0.0664279,3.27282
-0.0664191,3.24804
-0.0664091,3.18061
-0.0663995,3.12759
-0.0663883,3.07782
-0.0663774,3.08285
-0.0663669,3.12241
-0.0663575,3.18983
-0.0663484,3.28074
-0.0663394,3.37577
-0.0663309,3.37656
-0.0663218,3.34544
-0.0663137,3.33815
-0.0663061,3.35581
-0.0662976,3.34349
-0.0662895,3.3973
-0.0662804,3.35062
-0.0662711,3.35466
-0.0662619,3.35985
-0.0662524,3.31756
-0.0662434,3.27282
-0.0662344,3.22095
-0.0662254,3.17831
-0.0662165,3.20136
-0.0662065,3.22016
-0.0661943,3.30473
-0.0661827,3.41286
-0.0661703,3.52503
-0.0661588,3.56926
-0.0661479,3.56213
-0.0661375,3.54851
-0.0661262,3.57365
-0.0661147,3.53137
-0.0661026,3.46473
-0.0660909,3.42842
-0.066079,3.43088
-0.0660679,3.44513
-0.0660577,3.46746
-0.0660475,3.48029
-0.0660374,3.49066
-0.0660274,3.49585
-0.0660175,3.46992
-0.0660083,3.49066
-0.0659978,3.50132
-0.0659878,3.51141
-0.0659781,3.49506
-0.0659685,3.49181
-0.0659575,3.4795
-0.0659474,3.46473
-0.0659372,3.42482
-0.065925,3.41286
-0.0659116,3.46913
-0.0658965,3.63071
-0.0658843,3.76996
-0.0658755,3.8716
-0.0658674,3.92635
-0.0658604,4.01452
-0.0658513,3.91598
-0.0658421,3.82665
-0.0658317,3.76362
-0.0658214,3.67739
-0.0658115,3.64547
-0.0658015,3.58402
-0.065792,3.51739
-0.0657825,3.4388
-0.0657726,3.42763
-0.0657629,3.43555
-0.0657534,3.46473
-0.0657432,3.49066
-0.065733,3.49391
-0.0657233,3.51026
-0.0657141,3.48872
-0.065704,3.49145
-0.0656936,3.55809
-0.0656826,3.60362
-0.0656719,3.67062
-0.0656622,3.66377
-0.0656521,3.65145
-0.0656422,3.61673
-0.0656325,3.54772
-0.0656229,3.48821
-0.0656131,3.43995
-0.0656034,3.44513
-0.0655942,3.42633
-0.0655854,3.43916
-0.0655765,3.54499
-0.0655679,3.65418
-0.0655591,3.69619
-0.0655509,3.69295
-0.0655424,3.64987
-0.0655333,3.65303
-0.0655235,3.65276
-0.0655131,3.62955
-0.0655026,3.58791
-0.0654921,3.5573
-0.0654814,3.51775
-0.0654706,3.49181
-0.0654599,3.51141
-0.06545,3.5944
-0.0654388,3.64951
-0.0654268,3.69619
-0.0654154,3.71254
-0.0654036,3.7281
-0.065394,3.68503
-0.065385,3.66131
-0.0653759,3.67739
-0.065366,3.66183
-0.0653559,3.66183
-0.0653463,3.69813
-0.0653356,3.715
-0.0653255,3.73444
-0.0653148,3.71809
-0.0653035,3.74093
-0.0652924,3.76671
-0.0652811,3.78242
