Position in x [m],Voltage [V]
-0.0596354,0.01
-0.0596358,0.01
-0.0596366,0.01
-0.059637,0.01
-0.0596374,0.01
-0.0596382,0.01
-0.0596382,0.01
-0.059639,0.01
-0.0596394,0.01
-0.0596398,0.01
-0.0596402,0.01
-0.059641,0.01
-0.0596413,0.01
-0.0596418,0.01
-0.0596425,0.01
-0.059643,0.01
-0.0596434,0.01
-0.0596441,0.01
-0.0596449,0.01
-0.0596454,0.01
-0.059646,0.01
-0.0596466,0.01
-0.059647,0.01
-0.0596476,0.01
-0.0596482,0.01
-0.0596484,0.01
-0.0596492,0.01
-0.0596498,0.01
-0.05965,0.01
-0.0596506,0.01
-0.0596514,0.01
-0.0596516,0.01
-0.0596522,0.01
-0.0596528,0.01
-0.059653,0.01
-0.0596538,0.01
-0.0596538,0.01
-0.0596546,0.01
-0.059655,0.01
-0.0596554,0.01
-0.0596558,0.01
-0.0596562,0.01
-0.0596566,0.01
-0.0596574,0.01
-0.0596576,0.01
-0.0596582,0.01
-0.0596587,0.01
-0.0596594,0.01
-0.0596598,0.01
-0.0596602,0.01
-0.059661,0.01
-0.0596611,0.01
-0.0596618,0.01
-0.0596623,0.01
-0.0596626,0.01
-0.0596634,0.01
-0.0596639,0.01
-0.0596642,0.01
-0.0596647,0.01
-0.0596655,0.01
-0.0596659,0.01
-0.0596663,0.01
-0.0596671,0.01
-0.0596675,0.01
-0.0596683,0.01
-0.0596683,0.01
-0.0596691,0.01
-0.0596699,0.01
-0.0596705,0.01
-0.0596707,0.01
-0.0596715,0.01
-0.0596719,0.01
-0.0596727,0.01
-0.0596731,0.01
-0.0596735,0.01
-0.0596743,0.0105072
-0.0596749,0.0105072
-0.0596751,0.0105072
-0.0596759,0.0105072
-0.0596763,0.0105072
-0.0596767,0.01
-0.0596773,0.01
-0.0596779,0.01
-0.0596783,0.01
-0.0596787,0.01
-0.0596795,0.0105726
-0.0596799,0.0105726
-0.0596803,0.0105726
-0.0596811,0.0105726
-0.0596815,0.0105726
-0.0596819,0.01
-0.0596827,0.01
-0.0596835,0.01
-0.0596839,0.01
-0.0596843,0.01
-0.0596851,0.01
-0.0596857,0.01
-0.0596863,0.01
-0.0596871,0.01
-0.0596873,0.01
-0.0596879,0.01
-0.0596885,0.01
-0.0596893,0.01
-0.0596899,0.01
-0.0596906,0.01
-0.0596909,0.01
-0.0596914,0.01
-0.0596922,0.01
-0.0596926,0.01
-0.059693,0.01
-0.0596938,0.01
-0.0596942,0.01
-0.0596946,0.01
-0.059695,0.01
-0.0596958,0.01
-0.0596966,0.01
-0.0596966,0.01
-0.0596974,0.01
-0.0596981,0.01
-0.0596982,0.01
-0.059699,0.01
-0.0596997,0.01
-0.0597002,0.01
-0.0597006,0.01
-0.0597013,0.01
-0.0597014,0.01
-0.059702,0.01
-0.0597028,0.01
-0.059703,0.01
-0.0597036,0.01
-0.0597042,0.01
-0.0597048,0.01
-0.0597052,0.01
-0.059706,0.01
-0.0597064,0.01
-0.0597072,0.0121721
-0.0597076,0.0121721
-0.0597082,0.0121721
-0.0597088,0.0121721
-0.0597092,0.01
-0.0597096,0.01
-0.0597104,0.01
-0.0597106,0.01
-0.0597112,0.01
-0.0597118,0.0108321
-0.059712,0.0108321
-0.0597128,0.0108321
